;doc_author;northsouth;year;cut;tokens_total;1;2;3;4;5;6;7;8;9;1-norm;2-norm;3-norm;4-norm;5-norm;6-norm;7-norm;8-norm;9-norm
52;1813_Haag_Baak;n;1813;(1800, 1856];43423.0;44.0;3.0;8.0;11.0;12.0;6.0;3.0;3.0;2.0;0.0010132878889068005;6.908781060728186e-05;0.00018423416161941829;0.0002533219722267001;0.00027635124242912743;0.00013817562121456371;6.908781060728186e-05;6.908781060728186e-05;4.605854040485457e-05
53;1814_Leeu_Stor;n;1814;(1800, 1856];16017.0;18.0;4.0;0.0;0.0;2.0;4.0;4.0;0.0;1.0;0.0011238059561715678;0.00024973465692701506;0.0;0.0;0.00012486732846350753;0.00024973465692701506;0.00024973465692701506;0.0;6.243366423175376e-05
54;1814_Twis_Kamp;n;1814;(1800, 1856];33730.0;5.0;3.0;5.0;3.0;0.0;2.0;0.0;0.0;7.0;0.00014823599169878446;8.894159501927067e-05;0.00014823599169878446;8.894159501927067e-05;0.0;5.9294396679513786e-05;0.0;0.0;0.00020753038837829826
55;1814_Worm_Ding;n;1814;(1800, 1856];8724.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;4.0;17.0;0.0;0.0;0.0;0.0;0.0;0.00022925263640531865;0.0;0.0004585052728106373;0.0019486474094452086
56;1818_Broe_Bakk;n;1818;(1800, 1856];8930.0;3.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;0.00033594624860022396;0.0;0.00011198208286674133;0.0;0.00011198208286674133;0.00033594624860022396;0.0;0.0;0.0
57;1821_Brus_Goet_01;s;1821;(1800, 1856];80403.0;106.0;21.0;5.0;5.0;7.0;25.0;3.0;2.0;2.0;0.0013183587677076725;0.0002611842841685012;6.218673432583361e-05;6.218673432583361e-05;8.706142805616706e-05;0.0003109336716291681;3.7312040595500165e-05;2.4874693730333445e-05;2.4874693730333445e-05
58;1823_Zaan_Groo;n;1823;(1800, 1856];2756.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;0.000362844702467344;0.000362844702467344;0.000725689404934688;0.000362844702467344;0.0;0.0;0.0;0.0;0.000725689404934688
59;1835_Gent_Call;s;1835;(1800, 1856];68489.0;66.0;14.0;1.0;5.0;4.0;17.0;3.0;1.0;0.0;0.0009636583976989006;0.0002044123873906759;1.4600884813619706e-05;7.300442406809853e-05;5.840353925447882e-05;0.000248215041831535;4.3802654440859115e-05;1.4600884813619706e-05;0.0
60;1841_Zier_Bloo;n;1841;(1800, 1856];21910.0;15.0;2.0;5.0;10.0;7.0;2.0;5.0;21.0;2.0;0.0006846188954815153;9.128251939753537e-05;0.00022820629849383843;0.00045641259698767686;0.0003194888178913738;9.128251939753537e-05;0.00022820629849383843;0.0009584664536741214;9.128251939753537e-05
61;1844_Heez_Moor;n;1844;(1800, 1856];21469.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;4.657878801993572e-05;0.0;0.0;0.00032605151613955004;0.0;0.0;0.0;0.0;0.0
62;1846_Antw_Coni;s;1846;(1800, 1856];92962.0;112.0;93.0;4.0;15.0;7.0;33.0;7.0;6.0;3.0;0.001204793356425206;0.0010004087691745014;4.302833415804307e-05;0.00016135625309266153;7.529958477657537e-05;0.00035498375680385533;7.529958477657537e-05;6.454250123706461e-05;3.2271250618532305e-05
63;1855_Popp_Jong;n;1855;(1800, 1856];178891.0;0.0;3.0;4.0;1.0;8.0;10.0;0.0;0.0;0.0;0.0;1.6769988428707983e-05;2.2359984571610646e-05;5.5899961429026614e-06;4.471996914322129e-05;5.5899961429026616e-05;0.0;0.0;0.0
64;1856_Wird_Hell;n;1856;(1800, 1856];557265.0;9.0;2.0;73.0;1.0;5.0;21.0;16.0;12.0;0.0;1.6150305509945897e-05;3.588956779987977e-06;0.00013099692246956116;1.7944783899939885e-06;8.972391949969942e-06;3.768404618987376e-05;2.8711654239903816e-05;2.153374067992786e-05;0.0
