,topic,words,primitives,category,primitives_corrected,primitives_corrected_1,primitives_corrected_2
219,219,"['brandsocieteit' 'deelnemers' 'brandschade' 'societeit' 'boekhouder'
 'omslag' 'jelles' 'gecommitteerden' 'rekening' 'vergadering'
 'goedgekeurd' 'lands' 'vergoeding' 'bepaald' 'werkzaamheden' 'voorzitter'
 'geteekend' 'jaarlijks' 'wageningen' 'leeuwarden' 'verzekerd'
 'gearresteerd' 'besluit' 'besluiten' 'herberg' 'kerkvoogden' 'kas'
 'bedroeg' 'duizend' 'opmaken' 'vergaderd' 'einde' 'honderd' 'vastgesteld'
 'bestuur' 'welvaren' 'comparitie' 'gebruik' 'bestond' 'ruim'
 'gelegenheid' 'inschrijving' 'ingeschreven' 'daartoe' 'daarvan' 'gld'
 'kerkvoogd' 'kosten' 'gelden' 'gecontinueerd']",166,4,131,114,91
220,220,"['upten' 'iiiic' 'bourgoengen' 'toech' 'volc' 'mit' 'genadigen' 'oick'
 'all' 'gelre' 'voer' 'lach' 'mitten' 'dusent' 'alsoe' 'guede' 'junio'
 'wart' 'soe' 'coninc' 'onssen' 'volcx' 'starf' 'xvc' 'hoir' 'hertooch'
 'totten' 'waert' 'hartoge' 'uut' 'sonnendach' 'screef' 'nye' 'hoeren'
 'dattet' 'hyr' 'here' 'zoe' 'quemen' 'doer' 'doe' 'buten' 'heren'
 'februario' 'voert' 'xl' 'knechten' 'strijt' 'wolden' 'julio']",166,15,105,59,91
221,221,"['kauter' 'verlichting' 'regentie' 'musicq' 'verlicht' 'beyaerd'
 'maetschappy' 'voornaemste' 'gelegenheyd' 'huyzen' 'plechtigheyd'
 'autoriteyten' 'overheden' 'muziek' 'gezongen' 'luyster' 'bezonderlyk'
 'magten' 'verscheyde' 'geluyd' 'gevierd' 'vreugd' 'bezettinge'
 'anderdags' 'gevolgd' 'pleyn' 'stadhuys' 'geconstitueerde' 'geplaetst'
 'plegtigen' 'vercierd' 'blydschap' 'gelegendheyd' 'middagmael' 'vreugde'
 'onzer' 'stoet' 'kathedrale' 'bereyd' 'bemerkte' 'gebuerten' 'bywezen'
 'inwooners' 'vrydag' 'borgerwacht' 'feest' 'terwyl' 'verjaerdag'
 'voorgegaen' 'plechtige']",166,11,153,369,264
222,222,"['geapparendeert' 'vangenisse' 'vangenis' 'beweegt' 'egte' 'vastgenomen'
 'begaene' 'correctiehuijs' 'verdagt' 'faiten' 'betrapt' 'vergeleijt'
 'seffens' 'vrouwspersoon' 'begaen' 'patrouillien' 'daedt' 'voorseker'
 'hetzelve' 'fijgen' 'genoegsaem' 'ingebragt' 'overtuijgt' 'dief' 'barge'
 'aengehouden' 'verscheijde' 'besig' 'geloop' 'mogelijks' 'gepasseerden'
 'dieften' 'diefte' 'dieven' 'smedepoorte' 'geldt' 'gestolen' 'gevlugt'
 'gevonden' 'vanuijt' 'ontdekt' 'vrouwspersoonen' 'moorder' 'zoodaenig'
 'jongers' 'agtervolgt' 'hooftwagt' 'merckelijcke' 'nauwelijcks'
 'moorders']",166,7,165,258,257
223,223,"['koejen' 'gejaagd' 'dalend' 'jongvee' 'hooi' 'melkvee' 'vaak' 'melk'
 'muizen' 'vroeger' 'thans' 'tothiertoe' 'duur' 'longziekte' 'week' 'vee'
 'genoegzaam' 'daardoor' 'kalven' 'eenden' 'maar' 'bijzonder' 'ld'
 'kalvers' 'melke' 'klagen' 'velen' 'eigen' 'rijzend' 'goed' 'geld'
 'krijgen' 'voorjaar' 'voorraad' 'aanwezig' 'oorzaak' 'aardappelen'
 'ongeveer' 'enz' 'stuks' 'steeds' 'uitmuntend' 'daarvan' 'aardappels'
 'dagelijks' 'land' 'kaas' 'genoodzaakt' 'goedkoper' 'hofstra']",165,6,154,451,1537
224,224,"['klooster' 'kloosters' 'meubelen' 'kassen' 'religieusen' 'gesupprimeerde'
 'gebouwen' 'bouwen' 'claeren' 'verkogt' 'schilderyen' 'geld' 'jesuiten'
 'effecten' 'gewesene' 'gekogt' 'paters' 'vercoght' 'minderbroeders'
 'kerk' 'goederen' 'augustynen' 'werken' 'verkooping' 'huyzen' 'gebouw'
 'afgebroken' 'gezeyd' 'gemaekt' 'verkoopen' 'verpacht' 'ieder'
 'schilderijen' 'woonende' 'materialen' 'kost' 'betaeld' 'horlogie'
 'koopen' 'clooster' 'insgelyks' 'capucienen' 'grond' 'vernietigde'
 'aenbesteed' 'kerkmeesters' 'zilver' 'venditie' 'kasse' 'wierd']",165,10,140,136,142
225,225,"['warrij' 'mirel' 'beels' 'dr' 'mirell' 'gallas' 'gevaerts'
 'overgeleverde' 'graaff' 'poortermans' 'roest' 'adriaan' 'hogendijk'
 'hoogwerff' 'beedigt' 'verkooren' 'aarden' 'aarnout' 'thesaurier'
 'melvill' 'mr' 'fauvarcq' 'krap' 'swalmius' 'burgermr' 'bassecour' 'corn'
 'geeligeert' 'adr' 'dam' 'raaden' 'fredrik' 'blankert' 'leendert'
 'scheepenen' 'oudenhoorn' 'hendrik' 'sluis' 'burgermrn' 'graafland'
 'salm' 'aangestelt' 'crap' 'præsident' 'hoyer' 'eyk' 'theodorus' 'weled'
 'nominatie' 'andreas']",165,4,125,154,55
226,226,"['gaan' 'meenigte' 'waar' 'jongens' 'waaren' 'maakte' 'maar' 'deeze'
 'echter' 'burgers' 'gezegd' 'zich' 'aan' 'terstond' 'maakten'
 'intusschen' 'burgerij' 'oorzaak' 'egter' 'partij' 'geweld' 'naar'
 'regeering' 'toen' 'tijd' 'gepleegd' 'stadhuis' 'gelegenheid' 'daar'
 'niemand' 'kunnen' 'koomen' 'uit' 'slaan' 'kwamen' 'geweer' 'gemeen'
 'had' 'voornaamste' 'wierd' 'alwaar' 'reeds' 'er' 'militairen'
 'naderhand' 'kwam' 'moest' 'welke' 'zaak' 'wagten']",163,4,135,200,238
227,227,"['sterf' 'obijt' 'xvc' 'leyt' 'lambrecht' 'godtshuyse' 'huysvrouwe'
 'suster' 'out' 'starf' 'ao' 'eyn' 'mytten' 'sych' 'anno' 'es' 'opter'
 'begraven' 'eynen' 'syns' 'trycht' 'int' 'comissarius' 'vurs' 'joer'
 'twe' 'xve' 'hoem' 'buscop' 'desse' 'convente' 'sterff' 'soene'
 'wederoem' 'elisabeth' 'mertens' 'iiij' 'waest' 'plach' 'xxiij' 'werelt'
 'grafschrift' 'wesende' 'geheytten' 'opten' 'soe' 'kerck' 'diesse'
 'guede' 'peter']",163,12,45,72,108
228,228,"['vruegdevieren' 'wimpels' 'illuminatien' 'verciert' 'zaeg' 'avons'
 'vruegt' 'geillumineert' 'ontsteken' 'saeg' 'vlaggen' 'treijn' 'musik'
 'behangen' 'afgesongen' 'gespel' 'pecktonnen' 'duijsenden' 'menige'
 'konstig' 'naermiddag' 'goon' 'besonderste' 'verscheijde' 'voorop'
 'pligtige' 'plichtige' 'pragtig' 'vercierde' 'straeten' 'wordende'
 'omhangen' 'gelijckelijk' 'eerweerdigsten' 'carossen' 'vergeleijt'
 'vercieren' 'pligtigheijd' 'theater' 'maegdekens' 'omliggende' 'vieringe'
 'krijgsmusik' 'afgeleijt' 'heelen' 'geplaest' 'rondt' 'confraters' 'toer'
 'betoont']",159,11,148,213,323
229,229,"['silvere' 'vergulde' 'swert' 'laecken' 'pluijmen' 'silver' 'silveren'
 'laeken' 'roodt' 'vergult' 'fluweel' 'swart' 'swarte' 'altemael' 'roode'
 'couleuren' 'potten' 'goude' 'laken' 'vereert' 'zilvere' 'behangen'
 'trompetters' 'gaut' 'blauw' 'letters' 'waepen' 'root' 'fluweelen'
 'gaude' 'goudt' 'behanghen' 'diamanten' 'vergulden' 'witte' 'sittende'
 'wapen' 'handt' 'rocken' 'gouden' 'peerdt' 'zilver' 'geschildert'
 'verbeeldende' 'kussen' 'ghecleedt' 'verciert' 'jeder' 'afbeeldsel'
 'volghden']",156,11,84,102,81
230,230,"['martdag' 'eetwaeren' 'kraemen' 'disorder' 'zoodat' 'veroorsaeken'
 'nogtans' 'genoegsaem' 'veroorsakt' 'sondaegen' 'saeg' 'temeer' 'mart'
 'hieruijt' 'waeruijt' 'degone' 'overgroot' 'foire' 'eenider'
 'landtslieden' 'dusdaenig' 'zoodaenig' 'voorseker' 'voorsiet' 'zaeg'
 'patrouillien' 'teweeg' 'behalvens' 'besonder' 'daegen' 'mogelijks'
 'uijtvoer' 'welpeijsende' 'eerstdaegs' 'menige' 'weijnig' 'waeraen'
 'gevolgentlijk' 'daegelijcks' 'teenemael' 'borgerlijcke' 'waerdoor'
 'bijnae' 'gemakt' 'geene' 'zoogenaemde' 'gelijckelijk' 'geduerende'
 'schrikkelijcke' 'zooveel']",155,6,149,285,335
231,231,"['aenbesteed' 'werken' 'begroot' 'werk' 'nederlands' 'gemaekt' 'gezeyd'
 'bouwen' 'aengenomen' 'geplaetst' 'werklieden' 'afgebroken' 'hout'
 'materialen' 'francs' 'gekost' 'voltrekken' 'centimen' 'timmer' 'steen'
 'besteed' 'weynige' 'fabriek' 'gebouw' 'hoogte' 'aende' 'steenen' 'vaert'
 'bruggen' 'vercogt' 'gebouwen' 'genaemd' 'brusselsche' 'franken'
 'citadel' 'entrepot' 'toren' 'bezig' 'muur' 'vyftig' 'besluyt' 'wierd'
 'poort' 'balken' 'dak' 'verhoogen' 'stukken' 'ieder' 'grond' 'guldens']",154,10,139,128,101
232,232,"['dresens' 'gebooren' 'vrouwe' 'maria' 'getrouwt' 'suster' 'peter' 'anna'
 'elisabeth' 'margarita' 'doop' 'huijsvrouw' 'elisabet' 'geboren'
 'gedoopt' 'catharina' 'moeder' 'johanna' 'weeduwe' 'overleede' 'ouderdom'
 'getrout' 'vader' 'overleeden' 'juffrou' 'weed' 'geleeft' 'weduwe'
 'barbara' 'mevrouwe' 'dochter' 'peters' 'jaaren' 'gestorven' 'huijsvrou'
 'out' 'dogter' 'do' 'doghter' 'jonge' 'swager' 'edl' 'geest' 'willem'
 'grootvader' 'edelachtbare' 'subiet' 'huysvrouw' 'margareta' 'kinderen']",151,5,126,271,212
233,233,"['franchois' 'dheer' 'jaecques' 'anthone' 'joncker' 'joos' 'baptiste' 'jo'
 'adriaen' 'louijs' 'villegas' 'rentier' 'ontfangher' 'michiel'
 'sestendeel' 'niclais' 'vander' 'justus' 'jacques' 'gillis' 'jan'
 'wouters' 'filius' 'judocus' 'roelof' 'ian' 'cardon' 'obijt' 'dh'
 'pieter' 'andries' 'burghm' 'licentiaet' 'bap' 'overwaele' 'dominicus'
 'platse' 'charles' 'mre' 'heere' 'pauwels' 'maerten' 'guillame' 'clercq'
 'vincent' 'meulenaere' 'hooftmannen' 'werve' 'beke' 'burghmeester']",151,4,82,139,154
234,234,"['gesprongen' 'poeder' 'geraekt' 'dak' 'bommen' 'buspoeder' 'brand'
 'bomben' 'ballen' 'magazyn' 'korrelhuijs' 'springen' 'gekwetst'
 'verbrand' 'gelaeden' 'kruijt' 'buskruijd' 'werklieden' 'kogels'
 'beschadigd' 'stoof' 'gekwetste' 'hout' 'beschadigt' 'veroorzaekt'
 'beschaedigt' 'ingestort' 'magazijn' 'sprong' 'vuer' 'ongeluk' 'geworpen'
 'gebouwen' 'geblust' 'mortieren' 'glaezen' 'gevlogen' 'vuur' 'fabriek'
 'stucken' 'geslagen' 'geladen' 'weynige' 'magasijn' 'bastion' 'vensters'
 'poort' 'canon' 'geslaegen' 'waegens']",150,9,122,158,178
235,235,"['gegeesselt' 'gebannen' 'schavot' 'gecondemneert' 'gewoont' 'gehangen'
 'oudt' 'geset' 'hals' 'gegeeselt' 'strop' 'geexecuteert' 'gebonden'
 'galge' 'erp' 'gerit' 'gebrocht' 'beleden' 'peter' 'galg' 'staeck'
 'alias' 'hooft' 'geboortig' 'wilm' 'opgehangen' 'sententie' 'genaemt'
 'hendrick' 'eodem' 'synde' 'jongman' 'gegeselt' 'crimineelen' 'adriaen'
 'wouter' 'scherpregter' 'antonis' 'twe' 'backer' 'gevanckenisse' 'wever'
 'gebooren' 'verwesen' 'kerck' 'captijn' 'dirck' 'soon' 'sestien' 'vucht']",150,7,132,259,281
236,236,"['voorjaer' 'niuwen' 'afgebroocken' 'naedat' 'maandt' 'deselven' 'steenen'
 'grondt' 'beplant' 'gemaeckt' 'houte' 'bolwerck' 'poort' 'steen' 'deesen'
 'niuw' 'geleydt' 'leggende' 'muur' 'houten' 'breecken' 'and'
 'afgebrooken' 'streckende' 'boomen' 'bregge' 'cingel' 'beginnende'
 'saturdag' 'dubbelde' 'hout' 'gebroocken' 'geleegen' 'kerck' 'geset'
 'oostzijde' 'steene' 'verstraat' 'brug' 'oude' 'leuve' 'gerepareert'
 'agter' 'wal' 'gat' 'alckmaer' 'westzijde' 'meden' 'somer' 'straat']",149,10,98,97,159
237,237,"['galleijen' 'armade' 'sarasijnen' 'turckschen' 'turcken' 'venetianen'
 'christenen' 'buijt' 'armaede' 'keijsersche' 'bevochten' 'vlucht'
 'belegherde' 'christene' 'vloote' 'slaven' 'legher' 'leghers' 'turck'
 'venetien' 'siende' 'vechtende' 'volck' 'gheraeckt' 'christen'
 'beleghert' 'victorie' 'sterck' 'carle' 'stercke' 'ghevecht' 'vlote'
 'maeckten' 'eijlandt' 'genua' 'vluchtende' 'nederlaeghe' 'vijant'
 'bataillie' 'gheruineert' 'belegh' 'amonitie' 'cloecke' 'battaillie'
 'vechten' 'vijandt' 'mahomet' 'jerusolem' 'sloeghen' 'reviere']",148,12,52,80,109
238,238,"['dekens' 'decreten' 'natien' 'aenhooren' 'borgemeester' 'magistraet'
 'gevraeght' 'natie' 'fiscael' 'presenteren' 'advocaeten' 'gevraegt'
 'requeste' 'raede' 'gecompareert' 'raetsheeren' 'commissarissen'
 'borgers' 'vergaedert' 'gecosen' 'gedaen' 'vraege' 'kiesen' 'ambagten'
 'stellen' 'swaerdekens' 'stiel' 'geconsenteert' 'uytstel' 'voorders'
 'willen' 'staeten' 'negen' 'toegestaen' 'hetgene' 'examineren'
 'voorschreve' 'advocaet' 'voorgelesen' 'gene' 'prie' 'gedeputeerde'
 'geantwoort' 'daege' 'gedeputeerden' 'geroepen' 'geordonneert' 'antwoort'
 'gepresenteert' 'subsidien']",148,2,119,90,98
239,239,"['weled' 'gestr' 'admiraliteit' 'hoogwerff' 'warrij' 'gestrenge' 'raad'
 'aangestelt' 'recommandatie' 'beedigt' 'vroedschap' 'bassecour'
 'thesaurier' 'gallas' 'burgermr' 'demissie' 'beels' 'aangesteld'
 'bekleet' 'fauvarcq' 'graaff' 'desselfs' 'burgermeester' 'dr' 'verkooren'
 'overgeleverde' 'melvill' 'swalmius' 'raaden' 'burgermrn' 'poortermans'
 'qualiteit' 'gedeputeert' 'jaaren' 'adriaan' 'blankert' 'ampt'
 'opgevolgt' 'mirel' 'mr' 'geeligeert' 'raden' 'plaatze' 'graafland'
 'opgedragen' 'ed' 'gevaerts' 'maze' 'roest' 'gerard']",148,2,125,142,171
240,240,"['traude' 'huijsvrauwe' 'ghetraut' 'ghetrauwt' 'vrau' 'margriete'
 'dochter' 'gheseijt' 'sone' 'houwelick' 'vrauw' 'joanna' 'philips'
 'philippus' 'dochtere' 'bourgoignen' 'marie' 'coninghinne' 'gravinne'
 'co' 'vranckrijcke' 'ferdinandus' 'baudewijn' 'loijs' 'wedue' 'coninck'
 'sijnen' 'thierij' 'isabella' 'lodewyck' 'gheregiert' 'graef' 'caerle'
 'jonghen' 'carole' 'henegauwe' 'trouwde' 'ghenaempt' 'autsten'
 'oostenrijck' 'trauwen' 'voornompt' 'forestier' 'jaere' 'ghestorven'
 'robert' 'anno' 'vlaendren' 'graefschaep' 'suster']",148,5,46,82,86
241,241,"['jaaren' 'overleed' 'ouderdom' 'maanden' 'omtrend' 'had' 'jaar' 'oudste'
 'staaten' 'oud' 'zederd' 'raad' 'gebooren' 'plaats' 'deze' 'gewoond'
 'dood' 'tijd' 'jaare' 'leeraar' 'getrouwd' 'aan' 'naam' 'genaamd'
 'overleeden' 'naderhand' 'overleede' 'laatste' 'niemand' 'deeze'
 'jongste' 'duizend' 'eindelyk' 'haar' 'leeven' 'holland' 'honderd'
 'dogter' 'staats' 'maal' 'droefheid' 'voorbeeld' 'achtbaaren' 'zoon'
 'uit' 'wereld' 'maande' 'aard' 'weeduwe' 'thans']",147,5,102,260,281
242,242,"['gemet' 'tarw' 'erten' 'gewas' 'oegst' 'gerst' 'mee' 'graan' 'zaat' 'sak'
 'rogge' 'hoed' 'haver' 'sakken' 'zak' 'voorjaar' 'schellingen' 'gedolven'
 'ongemeen' 'gering' 'markten' 'schell' 'zaad' 'graanen' 'slegt' 'landman'
 'hoet' 'verkogt' 'kogt' 'granen' 'oogst' 'schier' 'schaars' 'prijzen'
 'grauwe' 'markt' 'nauwlijks' 'gulden' 'herfst' 'schraal' 'schaarsheid'
 'vrugt' 'ruim' 'zakken' 'gl' 'koorn' 'hooy' 'redelijk' 'duitsche' 'hooij']",146,6,91,38,46
243,243,"['versierd' 'luyster' 'vercierd' 'verlichting' 'katoen' 'behangen'
 'maegdekens' 'geschilderd' 'gebuerten' 'geplaetst' 'bloemen' 'kauter'
 'godsdienstige' 'plegtigheyd' 'bezonderlyk' 'verciert' 'bemerkte'
 'midden' 'beplant' 'straten' 'gevierd' 'muziek' 'kerk' 'voornaemste'
 'zag' 'vreugd' 'gezigt' 'gezongen' 'huyzen' 'plegtige' 'vlaggen'
 'menigte' 'beeld' 'vercieren' 'maetschappy' 'musicq' 'vreugde' 'wimpels'
 'gelegenheyd' 'straeten' 'regentie' 'omringd' 'kanten' 'processie'
 'gekleed' 'gevolgd' 'verlicht' 'stoet' 'groen' 'bisschoppelyk']",146,11,130,110,144
244,244,"['uiltje' 'hospitaal' 'gezondheid' 'kamp' 'terug' 'naar' 'had'
 'inkwartiering' 'kwam' 'kwamen' 'verlof' 'gezond' 'fokke' 'deed' 'toen'
 'daarna' 'aangekomen' 'aankomst' 'gaan' 'vrolijk' 'kreeg' 'bezoek' 'kon'
 'ligchaam' 'bezetting' 'zich' 'geplaatst' 'vertrok' 'bestemming' 'vond'
 'anske' 'garnizoen' 'gevraagd' 'gravenhage' 'bekend' 'schreef' 'reeds'
 'verblijd' 'jeltje' 'tilburg' 'verklaard' 'zwak' 'bezogte' 'bragt'
 'ernstig' 'terstond' 'zag' 'enz' 'vlug' 'jaardag']",146,5,130,154,206
245,245,"['guarnijsoen' 'trocken' 'volck' 'bijnnen' 'franchoisen' 'sterck' 'uut'
 'ghetrocken' 'belegherde' 'carracena' 'legher' 'gheschut' 'ghecommen'
 'leeghere' 'leegere' 'knechten' 'stercke' 'waelen' 'spaensche' 'belegh'
 'conde' 'ligghen' 'eenich' 'borghers' 'eenijghe' 'armentiers' 'beleghert'
 'voetknechten' 'hebbent' 'conden' 'trock' 'belegheren' 'ghedeel'
 'ghenomen' 'treckende' 'ghevanghen' 'stedeken' 'eenighe' 'maeckten'
 'commende' 'elck' 'septembre' 'datter' 'gheven' 'ghewelt' 'trecken'
 'gheschiede' 'commen' 'creghen' 'accordt']",145,1,118,273,409
246,246,"['gecommitteerde' 'raden' 'noorderquartier' 'westvriesland'
 'westfriesland' 'friesland' 'admiraliteyt' 'admiraliteid' 'lands' 'raad'
 'noorder' 'deze' 'holland' 'rekenkamer' 'mog' 'staaten' 'raaden' 'welke'
 'hunner' 'enkhuijzen' 'gecomm' 'ed' 'derzelver' 'admiraliteit'
 'admiraliteijt' 'geplaatst' 'aan' 'gecommitt' 'zoodanige' 'stad'
 'alkmaar' 'werd' 'derzelve' 'echter' 'voegen' 'collegien' 'gemaakt'
 'westvrieslandt' 'opgemelde' 'respective' 'wegens' 'vriesland' 'bezorgen'
 'wyders' 'voorgevel' 'dewelke' 'volgens' 'plaats' 'hoorn' 'ieder']",142,2,62,56,81
247,247,"['dieven' 'diefte' 'gestolen' 'franken' 'begaen' 'veroordeeld' 'dief'
 'betrapt' 'dieften' 'huyze' 'opengebroken' 'braeke' 'gevang' 'winkel'
 'ijzers' 'genaemd' 'verwezen' 'gevonden' 'verdagt' 'effecten'
 'veroordeelt' 'woonende' 'medegenomen' 'bestolen' 'gecondemneert' 'geld'
 'overtuijgt' 'vyftig' 'herberg' 'genaemde' 'gevangenis' 'nagt'
 'geapparendeert' 'kelder' 'werken' 'koetsier' 'tyd' 'begaene' 'juweelen'
 'correctiehuijs' 'regtsbank' 'geldt' 'vangenisse' 'gepleegd' 'dagelyks'
 'morgend' 'zyne' 'terwyl' 'gepasseerden' 'ontdekt']",142,7,129,205,174
248,248,"['ciborie' 'hostien' 'kelcken' 'tabernakel' 'silvere' 'silverwerck'
 'silver' 'silveren' 'ornamenten' 'opengebroken' 'ghestolen' 'daeruijt'
 'beeldt' 'sacristie' 'hostie' 'juweelen' 'vaeten' 'vergult' 'vergulde'
 'bestolen' 'venster' 'autaer' 'gestolen' 'uijtnemende' 'ghebroken'
 'vergulden' 'olie' 'goudt' 'dieven' 'deure' 'geldt' 'rustende' 'beelden'
 'kasse' 'kerck' 'effecten' 'lijnwaet' 'gerooft' 'berooft' 'hebt'
 'authaer' 'gesneden' 'remonstrantie' 'gelt' 'casse' 'miraculeus'
 'reliquien' 'welck' 'paer' 'kassen']",141,7,97,55,81
249,249,"['moog' 'staaten' 'moogende' 'raad' 'mog' 'holland' 'stad' 'omtrend'
 'deezer' 'generaal' 'gedeputeerden' 'ed' 'had' 'lands' 'deezen' 'deze'
 'bondgenooten' 'hunner' 'kwamen' 'provintie' 'gelderland' 'deeze'
 'raaden' 'uit' 'staats' 'aangesteld' 'bekend' 'verleend' 'hoogheid'
 'friesland' 'haare' 'reeds' 'provincie' 'aan' 'voorgem' 'werd' 'hoog'
 'regeering' 'vriesland' 'gelasten' 'geschied' 'einde' 'burgery' 'eed'
 'deszelfs' 'welke' 'derzelver' 'wijze' 'zederd' 'westvriesland']",141,13,110,81,113
250,250,"['alckmaer' 'naedat' 'and' 'deesen' 'niuwen' 'daernae' 'geexecuteert'
 'sulxs' 'daerenboven' 'deselven' 'kerck' 'afgebroocken' 'diewelcke'
 'weecken' 'gemaeckt' 'seeckere' 'daervan' 'verscheyden' 'geleegen'
 'breecken' 'soodat' 'egmondt' 'guardiaen' 'geleydt' 'gelegentheyt'
 'gesmeeten' 'mitsgaeders' 'gesproocken' 'geset' 'voorseyde' 'spangers'
 'gesecht' 'staenden' 'hetwelck' 'gelijck' 'daeraen' 'verscheydene'
 'eerwaerde' 'eenigen' 'schermer' 'janss' 'genaemt' 'ghescooten' 'oic'
 'ingesetenen' 'weynig' 'lijff' 'derwarts' 'gesteecken' 'martius']",139,4,65,81,84
251,251,"['classis' 'comm' 'dinsdag' 'vroedschap' 'aengesteld' 'gedeputeerden'
 'vermits' 'dispositie' 'geresolveert' 'gevraagt' 'admiraliteyt' 'gedane'
 'communiceren' 'versogt' 'gecomm' 'nader' 'heren' 'vergadering'
 'meerderheyd' 'geproponeert' 'dienvolgende' 'beurt' 'vervolgens'
 'versoeken' 'schriftelijke' 'cleef' 'ed' 'sessie' 'alvorens'
 'gedelibereert' 'hoogheid' 'conform' 'had' 'anderendaags' 'derhalven'
 'vergaderinge' 'disponeren' 'voorgedragen' 'commissien' 'resolutie'
 'berck' 'gevalle' 'versoek' 'yder' 'saak' 'goedvinden' 'stem' 'gem'
 'staten' 'ridderschap']",138,2,121,178,145
252,252,"['stoomboot' 'bestemd' 'harlingen' 'kwam' 'engeland' 'naar' 'bekend'
 'werd' 'gevoerd' 'vervoerd' 'geld' 'genaamd' 'boord' 'naderhand' 'oorlog'
 'bestemming' 'echter' 'deze' 'lading' 'schip' 'wierd' 'had' 'kwamen'
 'toen' 'bestond' 'frankrijk' 'havens' 'gesteld' 'hollandsche' 'uit'
 'gereed' 'ontvangen' 'maakten' 'holland' 'geladen' 'kon' 'vloot' 'terug'
 'vaart' 'reeds' 'vesting' 'maas' 'leeuwarden' 'geopend' 'eiland'
 'gezonken' 'aldaar' 'amerika' 'bevond' 'scheveningen']",137,10,95,104,101
253,253,"['advocaet' 'licentiaet' 'jos' 'heere' 'raede' 'pensionaris' 'rechten'
 'bap' 'joannes' 'peeters' 'petrus' 'deken' 'franc' 'ignatius' 'guill'
 'gebortigh' 'jac' 'gebortig' 'jacques' 'justus' 'fiscael' 'raedt' 'joos'
 'substituet' 'carolus' 'laurentius' 'jo' 'jacobus' 'greffiers'
 'burghmeester' 'jan' 'ruddere' 'dheer' 'baptista' 'ontfangher' 'rentier'
 'franchois' 'magistraet' 'joan' 'emanuel' 'josephus' 'canonik' 'raeden'
 'maendagh' 'broucke' 'gekosen' 'beyde' 'scholaster' 'capittel' 'martinus']",136,4,107,78,94
254,254,"['teschen' 'christina' 'koninglyke' 'casimirus' 'albertus' 'hoogheden'
 'oostenryk' 'saxen' 'gouverneurs' 'generaels' 'koninglyken' 'hertog'
 'hertoginne' 'prins' 'maria' 'theresia' 'saxe' 'albert' 'isabella'
 'hoogheyd' 'hongarien' 'bohemen' 'nederlanden' 'marie' 'doorluchtigen'
 'koning' 'aerts' 'koninklyke' 'polen' 'oostenryck' 'hertogh' 'capiteyns'
 'keyzerlyke' 'hertoghinne' 'huldinge' 'souvereynen' 'princesse' 'carel'
 'keyzer' 'keurvorst' 'keyzerinne' 'doorluchtige' 'koninginne' 'majesteyt'
 'insgelyks' 'paleys' 'zyne' 'arts' 'naem' 'minister']",136,12,77,91,59
255,255,"['collatie' 'advijsen' 'pennijnghen' 'gheconsenteert' 'notable' 'voijsen'
 'consenteerden' 'quote' 'gheresolveert' 'voorseijde' 'accorderen'
 'sauden' 'ghevraeght' 'cote' 'catholicke' 'oncosten' 'gheven'
 'gheaccordeert' 'adviseren' 'datmen' 'haerlieder' 'millioen' 'lichten'
 'voornomt' 'midts' 'saude' 'gheseten' 'versochte' 'cattholijcke'
 'oversulcx' 'ghehauden' 'ghemeente' 'daeraf' 'hoochbailliu' 'rodrigo'
 'advijs' 'versocht' 'eta' 'daerop' 'resolveren' 'ma' 'ghevraecht'
 'ghedient' 'somme' 'advijse' 'jaerlicx' 'exellentie' 'extraordinaire'
 'keure' 'ghedeputeerde']",136,4,101,96,149
256,256,"['kerk' 'orgel' 'predikstoel' 'godsdienst' 'gespeeld' 'kerken' 'wierd'
 'klok' 'geplaatst' 'kapel' 'werd' 'naderhand' 'gesteld' 'bekend'
 'gevierd' 'stadhuis' 'toen' 'zingen' 'had' 'deze' 'geluid' 'zondags'
 'kerke' 'gebruik' 'predikatie' 'gedaan' 'waar' 'deed' 'godsdienstige'
 'jaar' 'tooren' 'heeze' 'maal' 'gemaakt' 'koor' 'aan' 'naam' 'geschied'
 'gebouwd' 'gebed' 'gebouw' 'kon' 'vlag' 'toren' 'gereformeerde' 'heilig'
 'klokken' 'hervormde' 'gezongen' 'genaamd']",134,14,97,149,207
257,257,"['stuiv' 'besteed' 'gld' 'guld' 'betaald' 'perceel' 'gekost' 'bedraagt'
 'kosten' 'somma' 'bedragende' 'betaalt' 'slatten' 'aangenomen' 'penn'
 'bestek' 'ijzere' 'guldens' 'kalk' 'bedongen' 'duizend' 'stuivers'
 'omslag' 'werk' 'kas' 'huur' 'honderd' 'gulden' 'geld' 'onkosten' 'roede'
 'pijpen' 'bedroeg' 'koper' 'gemaakt' 'hek' 'vijftig' 'negentig' 'baar'
 'huizinge' 'ongeveer' 'buiten' 'gelegd' 'hout' 'daarvoor' 'stuijv'
 'ieder' 'steenen' 'gemetselt' 'pijp']",134,6,98,82,93
