,topic,words,primitives,category,primitives_corrected,primitives_corrected_1,primitives_corrected_2
22,22,"['regeering' 'zaaken' 'zaak' 'echter' 'oogmerken' 'deeze' 'zulke'
 'burgerij' 'wijze' 'ingezetenen' 'haat' 'gedrag' 'kunnen' 'zoodanige'
 'denkbeelden' 'gebruik' 'zulk' 'cabaal' 'bekend' 'deze' 'haare' 'pligt'
 'oogmerk' 'waar' 'slegts' 'maar' 'verzogt' 'einde' 'nimmer' 'verzoek'
 'oog' 'vertrouwen' 'denken' 'burgers' 'eigene' 'genoegzaam' 'daad'
 'wapenhandel' 'genoeg' 'overheid' 'maaken' 'dewijl' 'waarheid' 'nogthans'
 'tijd' 'schutterij' 'naam' 'vrijheid' 'gelegenheid' 'niemand']",886,13,359,455,500
23,23,"['tijdijnge' 'brijngen' 'wonsdach' 'spaingien' 'ambasadeur'
 'vranckerijcke' 'brochten' 'dijsendach' 'vuijt' 'inhaut' 'gunierde'
 'saude' 'bruijssel' 'ligue' 'proventien' 'daten' 'marseren' 'daegelicx'
 'diveersche' 'eta' 'etca' 'cavalerije' 'eenich' 'maendach' 'heijlicheijt'
 'ditto' 'seght' 'datmen' 'vertreck' 'conde' 'sauden' 'wesen' 'ma'
 'denselven' 'catholicke' 'besich' 'ambasadeurs' 'daermede' 'oorloch'
 'daeraf' 'saterdach' 'zaecken' 'tijdijnghe' 'neersticheijt' 'connen'
 'expressen' 'eenighe' 'commen' 'parlament' 'donderdach']",881,8,838,389,308
24,24,"['faendelen' 'spangers' 'uuijren' 'burghers' 'denselfden' 'haerlem'
 'diewelcke' 'snachs' 'zijnder' 'ghescooten' 'sparendam' 'gescooten'
 'walen' 'ock' 'scooten' 'beverwijck' 'alcmaer' 'soudaten' 'sceepen'
 'janspoort' 'duijtse' 'daernae' 'stats' 'scriven' 'uuijt' 'scansen'
 'mochten' 'victalie' 'blockhuijs' 'orangen' 'daelder' 'gecomen'
 'daerdoer' 'soldaten' 'doer' 'sulxs' 'ingecomen' 'vaendelen' 'zoe' 'uut'
 'roers' 'twelck' 'janss' 'middach' 'gebrocht' 'knechten' 'comen' 'gescut'
 'enich' 'stat']",855,1,793,487,610
25,25,"['leuve' 'bregge' 'scheepmakers' 'schiedamse' 'haven' 'gemetselt'
 'betimmert' 'brughe' 'gediept' 'aande' 'getimmert' 'geleit' 'erven'
 'vest' 'onbetimmerde' 'steene' 'poort' 'gemaeckt' 'warent' 'sijde'
 'houte' 'delfse' 'zuijdzijde' 'steen' 'selffde' 'timmeren' 'oostpoort'
 'aende' 'verkoft' 'ghulden' 'dwars' 'gebroocken' 'oostzijde'
 'haringvliet' 'sloot' 'aent' 'opte' 'afgebroken' 'hoogstraat' 'steenen'
 'balcken' 'noordzijde' 'suijt' 'bolwerck' 'hout' 'geleijt' 'dijck'
 'straet' 'westzijde' 'worde']",843,10,354,274,185
26,26,"['brand' 'afgebrand' 'ontstond' 'huizen' 'schuur' 'verbrand' 'dak' 'vuur'
 'veroorzaakt' 'vernield' 'beschadigd' 'gebluscht' 'zwaar' 'vlam'
 'huizinge' 'sloeg' 'huis' 'staande' 'waardoor' 'ontstaan' 'gedeelte'
 'bewaard' 'toen' 'bewoond' 'echter' 'gelukkig' 'onweer' 'waarvan'
 'beschadigt' 'woningen' 'geblust' 'ongeveer' 'omgekomen' 'gebouwen'
 'gelegd' 'naast' 'zag' 'schoorsteenen' 'geraakte' 'woning' 'eigenaar'
 'gebouw' 'onweder' 'ingestort' 'geraakt' 'gered' 'plaatzen' 'straat'
 'genoegzaam' 'blixem']",843,9,672,362,305
27,27,"['gemaakt' 'paalen' 'brug' 'ooster' 'bestraat' 'verstraat' 'straat'
 'strekkende' 'vaart' 'westerpoort' 'besteed' 'havens' 'afgebrooken'
 'lengte' 'muur' 'haven' 'wester' 'paal' 'lantaarn' 'dwars' 'ketting'
 'zuijdzijde' 'paalwerk' 'noordzijde' 'poort' 'aande' 'breed' 'palen'
 'zand' 'steeg' 'meden' 'geplaatst' 'werk' 'steene' 'cingel' 'werd' 'vest'
 'dijk' 'gezet' 'gat' 'buiten' 'gebouwd' 'gemak' 'bruggen' 'overtoom'
 'staande' 'toorn' 'breedte' 'zoomer' 'genaamd']",835,10,243,318,357
28,28,"['levendich' 'gehangen' 'gehanghen' 'galge' 'staeck' 'gebrocht' 'onthalst'
 'merckt' 'galgen' 'scherprechter' 'verbrant' 'vuyt' 'ramoer' 'gevuert'
 'merct' 'gebrant' 'hals' 'snachts' 'lichamen' 'gevanghen' 'ierst'
 'genaempt' 'herdoopers' 'gericht' 'heymelyck' 'stierff' 'synde' 'geseth'
 'prochiaen' 'onthooft' 'geset' 'gegeesselt' 'naeckt' 'galghe' 'schavodt'
 'meerte' 'doot' 'gelyck' 'lyff' 'schavot' 'dach' 'hooffden' 'gehaelt'
 'doer' 'gebracht' 'genoempt' 'welck' 'gegeeselt' 'gevanckenisse' 'yseren']",820,7,710,654,596
29,29,"['baudewijn' 'houwelick' 'gheseijt' 'graefschaep' 'margriete' 'vlaendren'
 'huijsvrauwe' 'sijnen' 'thierij' 'ghetrauwt' 'vrauw' 'vranckrijcke'
 'gravinne' 'henegauwe' 'guij' 'graef' 'traude' 'bourgoignen' 'vrau'
 'regieringhe' 'loijs' 'philips' 'co' 'gheselschaep' 'forestier'
 'gheregiert' 'robert' 'joanna' 'sone' 'jonghen' 'vlaenderen' 'voornompt'
 'autsten' 'caerle' 'sijn' 'wedue' 'ghetraut' 'ferrant' 'vlaminghen'
 'ghelijck' 'huijsvrouwe' 'vriendelick' 'ghestelt' 'sijne' 'regierde'
 'dede' 'konijnck' 'corts' 'simpelen' 'ghestorven']",817,12,103,149,213
30,30,"['guarnijsoen' 'franchoisen' 'bijnnen' 'leeghere' 'leegere' 'trocken'
 'carracena' 'leegher' 'ijpre' 'nieupoort' 'volck' 'brussele' 'gassion'
 'eenijghe' 'spaensche' 'armentiers' 'prijnce' 'dijversche' 'uut' 'duck'
 'platsen' 'cortrijcke' 'sterck' 'rijssele' 'ghonne' 'waelen' 'trock'
 'voetknechten' 'opden' 'jully' 'lagh' 'hertooghe' 'gheschut' 'laghen'
 'quamen' 'italiaenen' 'wederomme' 'creghen' 'tsnachts' 'vijandt' 'track'
 'uuijt' 'ghewelt' 'knechten' 'borghers' 'voetvolck' 'ligghen'
 'duijnckercke' 'alsdoen' 'laeghen']",806,1,684,870,716
31,31,"['municipaliteit' 'had' 'roermond' 'zou' 'denzelfden' 'gevraagd' 'kwam'
 'niemand' 'kon' 'kwamen' 'stadhuis' 'mun' 'gezegd' 'daarna' 'bekend'
 'moest' 'gaan' 'werd' 'maastricht' 'zich' 'zaak' 'waarop' 'naderhand'
 'uit' 'deed' 'gepubliceerd' 'vond' 'kort' 'eindelyk' 'verzoek' 'terug'
 'verzogt' 'heb' 'nijmegen' 'ze' 'naar' 'venlo' 'ontvangen' 'betaling'
 'wierd' 'deze' 'onderteekend' 'toen' 'antwoord' 'verklaard' 'reeds'
 'zoals' 'maakte' 'niets' 'dezelfde']",805,2,730,479,434
